ecosystem_id,ecosystem_name,local_health_market_name,state_code,state_name,region,n_zips,total_population,pct_65_plus,pct_rural,median_household_income,pct_hispanic_or_latino,pct_black_or_african_american,commercial_lives_share
4000,CA-ECO-000,California LHM A,CA,California,West,45,298490,0.253,0.3841,68038,0.2249,0.1035,0.409
4001,TX-ECO-001,Texas LHM B,TX,Texas,South,105,441379,0.1937,0.371,71889,0.0615,0.2248,0.4544
4002,NY-ECO-002,New York LHM C,NY,New York,Northeast,75,159683,0.1955,0.1113,64317,0.2326,0.0896,0.4666
4003,FL-ECO-003,Florida LHM D,FL,Florida,South,124,151658,0.1764,0.0288,61047,0.3095,0.0712,0.8
4004,PA-ECO-004,Pennsylvania LHM E,PA,Pennsylvania,Northeast,89,275234,0.2188,0.5121,60037,0.1615,0.2477,0.4004
4005,IL-ECO-005,Illinois LHM A,IL,Illinois,Midwest,31,559575,0.083,0.6677,53114,0.0917,0.2758,0.458
4006,OH-ECO-006,Ohio LHM B,OH,Ohio,Midwest,126,401185,0.1716,0.2921,63824,0.1417,0.2417,0.5541
4007,GA-ECO-007,Georgia LHM C,GA,Georgia,South,79,1041480,0.2492,0.1241,57419,0.0738,0.1141,0.4626
4008,NC-ECO-008,North Carolina LHM D,NC,North Carolina,South,41,302249,0.2078,0.5437,86729,0.1056,0.1445,0.4687
4009,MI-ECO-009,Michigan LHM E,MI,Michigan,Midwest,61,474864,0.1931,0.1661,61148,0.0307,0.3555,0.6289
4010,NJ-ECO-010,New Jersey LHM A,NJ,New Jersey,Northeast,35,422881,0.1787,0.3364,75654,0.222,0.5173,0.5774
4011,VA-ECO-011,Virginia LHM B,VA,Virginia,South,74,688528,0.1443,0.1659,56333,0.3869,0.1478,0.3795
4012,WA-ECO-012,Washington LHM C,WA,Washington,West,115,387571,0.1963,0.6491,66251,0.319,0.0994,0.4945
4013,AZ-ECO-013,Arizona LHM D,AZ,Arizona,West,118,849354,0.1552,0.7063,63116,0.0993,0.1822,0.6163
4014,MA-ECO-014,Massachusetts LHM E,MA,Massachusetts,Northeast,108,694452,0.1804,0.0879,53402,0.5409,0.5971,0.516
4015,TN-ECO-015,Tennessee LHM A,TN,Tennessee,South,70,358423,0.1887,0.4118,79861,0.2857,0.238,0.51
4016,IN-ECO-016,Indiana LHM B,IN,Indiana,Midwest,87,350755,0.1036,0.0687,40590,0.1255,0.3204,0.4104
4017,MO-ECO-017,Missouri LHM C,MO,Missouri,Midwest,63,408259,0.1507,0.3964,41988,0.0981,0.1882,0.586
4018,MD-ECO-018,Maryland LHM D,MD,Maryland,Northeast,58,958983,0.1583,0.2204,34389,0.2268,0.164,0.5403
4019,CO-ECO-019,Colorado LHM E,CO,Colorado,West,124,155131,0.165,0.1438,63794,0.2546,0.3355,0.4558
4020,MN-ECO-020,Minnesota LHM A,MN,Minnesota,Midwest,115,731415,0.1093,0.3535,54844,0.3034,0.2094,0.5695
4021,WI-ECO-021,Wisconsin LHM B,WI,Wisconsin,Midwest,61,631088,0.1351,0.1799,56702,0.3421,0.2554,0.4382
4022,OR-ECO-022,Oregon LHM C,OR,Oregon,West,115,343537,0.1746,0.0767,72549,0.1937,0.4681,0.6111
4023,SC-ECO-023,South Carolina LHM D,SC,South Carolina,South,86,613515,0.1617,0.1194,54532,0.3702,0.0867,0.5462
4024,CA-ECO-024,California LHM E,CA,California,West,102,268199,0.1585,0.1427,49983,0.2692,0.3884,0.4938
4025,TX-ECO-025,Texas LHM A,TX,Texas,South,71,3102846,0.176,0.3783,42309,0.1469,0.3676,0.623
