forecast_name,forecast_yrmo,date_year_month,ecosystem_id,product_brand_id,product_brand_name,gross_point_estimate,gross_minimum,gross_maximum
TM1_BASELINE,202412,202501,4000,5101,Retivue,169.101,143.736,194.466
TM1_BASELINE,202412,202502,4000,5101,Retivue,130.268,110.728,149.809
TM1_BASELINE,202412,202503,4000,5101,Retivue,136.775,116.259,157.291
TM1_BASELINE,202412,202504,4000,5101,Retivue,131.436,111.72,151.151
TM1_BASELINE,202412,202505,4000,5101,Retivue,135.746,115.384,156.108
TM1_BASELINE,202412,202506,4000,5101,Retivue,157.539,133.908,181.169
TM1_BASELINE,202412,202501,4000,5102,Vabyseal,118.379,100.622,136.136
TM1_BASELINE,202412,202502,4000,5102,Vabyseal,122.241,103.905,140.577
TM1_BASELINE,202412,202503,4000,5102,Vabyseal,110.157,93.634,126.681
TM1_BASELINE,202412,202504,4000,5102,Vabyseal,127.724,108.566,146.883
TM1_BASELINE,202412,202505,4000,5102,Vabyseal,113.685,96.632,130.738
TM1_BASELINE,202412,202506,4000,5102,Vabyseal,109.249,92.862,125.636
TM1_BASELINE,202412,202501,4000,5105,Ocretiva,88.197,74.967,101.426
TM1_BASELINE,202412,202502,4000,5105,Ocretiva,90.907,77.271,104.543
TM1_BASELINE,202412,202503,4000,5105,Ocretiva,80.039,68.033,92.045
TM1_BASELINE,202412,202504,4000,5105,Ocretiva,82.662,70.262,95.061
TM1_BASELINE,202412,202505,4000,5105,Ocretiva,70.482,59.91,81.055
TM1_BASELINE,202412,202506,4000,5105,Ocretiva,89.281,75.889,102.673
TM1_BASELINE,202412,202501,4000,5109,Hemvia,263.911,224.324,303.497
TM1_BASELINE,202412,202502,4000,5109,Hemvia,320.438,272.372,368.503
TM1_BASELINE,202412,202503,4000,5109,Hemvia,258.779,219.962,297.596
TM1_BASELINE,202412,202504,4000,5109,Hemvia,306.04,260.134,351.946
TM1_BASELINE,202412,202505,4000,5109,Hemvia,264.505,224.829,304.18
TM1_BASELINE,202412,202506,4000,5109,Hemvia,275.03,233.776,316.285
TM1_BASELINE,202412,202501,4000,5112,Xolarin,178.174,151.448,204.9
TM1_BASELINE,202412,202502,4000,5112,Xolarin,222.544,189.162,255.926
TM1_BASELINE,202412,202503,4000,5112,Xolarin,168.08,142.868,193.292
TM1_BASELINE,202412,202504,4000,5112,Xolarin,168.265,143.025,193.505
TM1_BASELINE,202412,202505,4000,5112,Xolarin,216.701,184.196,249.206
TM1_BASELINE,202412,202506,4000,5112,Xolarin,170.902,145.267,196.538
TM1_BASELINE,202412,202501,4000,5116,Perjenta,132.231,112.397,152.066
TM1_BASELINE,202412,202502,4000,5116,Perjenta,147.509,125.383,169.635
TM1_BASELINE,202412,202503,4000,5116,Perjenta,143.528,121.999,165.057
TM1_BASELINE,202412,202504,4000,5116,Perjenta,128.148,108.926,147.37
TM1_BASELINE,202412,202505,4000,5116,Perjenta,130.757,111.143,150.37
TM1_BASELINE,202412,202506,4000,5116,Perjenta,121.938,103.647,140.229
TM1_BASELINE,202412,202501,4000,5117,Phesgrox,93.511,79.484,107.538
TM1_BASELINE,202412,202502,4000,5117,Phesgrox,89.579,76.143,103.016
TM1_BASELINE,202412,202503,4000,5117,Phesgrox,98.024,83.32,112.727
TM1_BASELINE,202412,202504,4000,5117,Phesgrox,90.69,77.087,104.294
TM1_BASELINE,202412,202505,4000,5117,Phesgrox,86.617,73.625,99.61
TM1_BASELINE,202412,202506,4000,5117,Phesgrox,82.087,69.774,94.4
TM1_BASELINE,202412,202501,4000,5118,Kadcynex,62.754,53.341,72.168
TM1_BASELINE,202412,202502,4000,5118,Kadcynex,64.563,54.879,74.247
TM1_BASELINE,202412,202503,4000,5118,Kadcynex,66.918,56.88,76.956
