date_year_month,ecosystem_id,product_brand_id,product_brand_name,pct_lives_covered,pct_preferred,pct_prior_auth_required,pct_step_edit_required,commercial_lives_share,indication_adjusted_lives
202101,4000,5101,Retivue,0.7295,0.6198,0.3501,0.2438,0.409,7857.0
202102,4000,5101,Retivue,0.7295,0.6362,0.2682,0.2206,0.409,6010.0
202103,4000,5101,Retivue,0.7295,0.4954,0.2265,0.2608,0.409,10694.0
202104,4000,5101,Retivue,0.7417,0.5363,0.5743,0.1102,0.409,4879.0
202105,4000,5101,Retivue,0.7417,0.6897,0.4145,,0.409,7735.0
202106,4000,5101,Retivue,0.7417,0.6198,0.6615,0.1173,0.409,4800.0
202107,4000,5101,Retivue,0.7239,0.499,0.4618,0.1181,0.409,12004.0
202108,4000,5101,Retivue,0.7239,0.5303,,0.3923,0.409,11830.0
202109,4000,5101,Retivue,0.7239,0.6279,0.6766,0.0612,0.409,7580.0
202110,4000,5101,Retivue,0.7203,0.4819,0.3175,0.1114,0.409,6340.0
202111,4000,5101,Retivue,0.7203,0.627,0.5235,0.0811,0.409,6156.0
202112,4000,5101,Retivue,0.7203,0.5379,0.4276,0.4526,0.409,
202201,4000,5101,Retivue,0.732,0.5671,0.2309,0.3461,0.409,10216.0
202202,4000,5101,Retivue,0.732,0.5481,0.6011,0.474,0.409,9566.0
202203,4000,5101,Retivue,0.732,0.5277,0.206,0.159,0.409,10918.0
202204,4000,5101,Retivue,0.7156,0.5508,0.4624,0.1581,0.409,11916.0
202205,4000,5101,Retivue,0.7156,0.6176,0.3307,0.3664,0.409,7359.0
202206,4000,5101,Retivue,0.7156,0.5571,0.4877,0.3132,0.409,8660.0
202207,4000,5101,Retivue,0.7065,0.5763,0.0948,0.1425,0.409,12271.0
202208,4000,5101,Retivue,0.7065,0.5318,0.389,0.4669,0.409,8864.0
202209,4000,5101,Retivue,0.7065,0.4877,0.3585,0.3809,0.409,9721.0
202210,4000,5101,Retivue,0.7242,0.5547,0.4708,0.2941,0.409,11757.0
202211,4000,5101,Retivue,0.7242,0.5152,0.3319,0.1011,0.409,7132.0
202212,4000,5101,Retivue,0.7242,0.6441,0.398,0.41,0.409,9693.0
202301,4000,5101,Retivue,0.722,0.6099,0.4158,0.1901,0.409,6114.0
202302,4000,5101,Retivue,0.722,0.4864,0.5376,0.1461,0.409,4863.0
202303,4000,5101,Retivue,0.722,0.6616,0.8391,0.2943,0.409,9620.0
202304,4000,5101,Retivue,0.6842,0.5924,0.1811,0.2186,0.409,7917.0
202305,4000,5101,Retivue,0.6842,0.5626,0.4841,0.1916,0.409,7260.0
202306,4000,5101,Retivue,0.6842,0.447,0.809,0.2349,0.409,6890.0
202307,4000,5101,Retivue,0.687,0.5115,0.4639,0.44,0.409,4652.0
202308,4000,5101,Retivue,0.687,0.4674,0.5336,0.239,0.409,4496.0
202309,4000,5101,Retivue,0.687,0.6302,0.3949,0.4795,0.409,5270.0
202310,4000,5101,Retivue,0.6853,0.5932,0.4415,0.1914,0.409,7440.0
202311,4000,5101,Retivue,0.6853,0.5574,0.1873,0.3063,0.409,9336.0
202312,4000,5101,Retivue,0.6853,0.4568,0.4596,0.1144,0.409,12153.0
202401,4000,5101,Retivue,0.6858,0.6142,0.41,0.0883,0.409,11932.0
202402,4000,5101,Retivue,0.6858,0.4848,0.6414,0.2761,0.409,4854.0
202403,4000,5101,Retivue,0.6858,0.5456,0.4498,0.4285,0.409,8238.0
202404,4000,5101,Retivue,0.697,0.6419,0.4338,0.3272,0.409,9717.0
202405,4000,5101,Retivue,0.697,0.5444,0.3879,0.324,0.409,12104.0
202406,4000,5101,Retivue,0.697,0.4834,0.1404,0.1608,0.409,6224.0
202407,4000,5101,Retivue,0.707,0.5033,0.5201,0.3004,0.409,9643.0
202408,4000,5101,Retivue,0.707,0.6236,0.4681,0.2626,0.409,8994.0
202409,4000,5101,Retivue,0.707,0.4606,0.2746,0.2022,0.409,6563.0
202410,4000,5101,Retivue,0.7368,0.6569,0.4613,0.3801,0.409,10022.0
202411,4000,5101,Retivue,0.7368,0.5394,0.5309,0.4007,0.409,11247.0
202412,4000,5101,Retivue,0.7368,0.5835,0.5279,0.2491,0.409,6027.0
202501,4000,5101,Retivue,0.7512,0.6562,0.8484,0.0657,0.409,9670.0
202502,4000,5101,Retivue,0.7512,0.5996,0.3226,0.3258,0.409,11193.0
202503,4000,5101,Retivue,0.7512,0.5569,0.5329,0.2223,0.409,6058.0
202504,4000,5101,Retivue,0.7844,0.5541,0.3152,0.0069,0.409,8961.0
202505,4000,5101,Retivue,0.7844,0.6055,,0.1027,0.409,4932.0
202506,4000,5101,Retivue,0.7844,0.5353,0.3664,0.241,0.409,11411.0
202101,4001,5101,Retivue,0.7691,0.5192,0.5768,0.2499,0.4544,18341.0
202102,4001,5101,Retivue,0.7691,0.5203,0.3555,0.2464,0.4544,11349.0
202103,4001,5101,Retivue,0.7691,0.6673,0.3388,0.1081,0.4544,18953.0
202104,4001,5101,Retivue,0.7508,0.5941,0.4583,0.3717,0.4544,15118.0
202105,4001,5101,Retivue,0.7508,0.5631,0.2292,0.374,0.4544,18747.0
202106,4001,5101,Retivue,0.7508,0.6465,0.8226,0.0845,0.4544,15753.0
202107,4001,5101,Retivue,0.7876,0.5704,0.4504,0.3325,0.4544,12804.0
202108,4001,5101,Retivue,0.7876,0.6145,0.2184,0.2909,0.4544,
202109,4001,5101,Retivue,0.7876,0.558,0.3824,0.2319,0.4544,11775.0
202110,4001,5101,Retivue,0.7944,0.5588,0.4764,0.3981,0.4544,9375.0
202111,4001,5101,Retivue,0.7944,0.6655,0.1064,0.112,0.4544,19418.0
202112,4001,5101,Retivue,0.7944,0.6254,,0.421,0.4544,9457.0
202201,4001,5101,Retivue,0.8189,0.6681,0.3863,0.1992,0.4544,18762.0
202202,4001,5101,Retivue,0.8189,0.6243,0.5365,0.22,0.4544,
202203,4001,5101,Retivue,0.8189,0.6706,0.4325,,0.4544,17490.0
202204,4001,5101,Retivue,0.774,0.5261,,0.3019,0.4544,7722.0
202205,4001,5101,Retivue,0.774,0.6957,,0.4071,0.4544,13344.0
202206,4001,5101,Retivue,0.774,0.6053,0.253,0.0,0.4544,15610.0
202207,4001,5101,Retivue,0.7713,0.6326,0.6201,0.3658,0.4544,8502.0
202208,4001,5101,Retivue,0.7713,0.644,0.5631,0.4055,0.4544,12949.0
202209,4001,5101,Retivue,0.7713,0.6008,0.4787,0.5215,0.4544,7734.0
202210,4001,5101,Retivue,0.7821,0.6811,0.5182,0.3239,0.4544,17382.0
202211,4001,5101,Retivue,0.7821,0.5935,0.1724,0.3182,0.4544,10650.0
202212,4001,5101,Retivue,0.7821,0.6762,0.4977,0.1794,0.4544,8895.0
202301,4001,5101,Retivue,0.7976,0.7158,0.4106,0.2646,0.4544,9544.0
202302,4001,5101,Retivue,0.7976,0.6672,0.5268,0.2002,0.4544,17733.0
202303,4001,5101,Retivue,0.7976,0.7114,0.4967,0.4523,0.4544,10568.0
202304,4001,5101,Retivue,0.7931,0.692,0.6227,,0.4544,16087.0
202305,4001,5101,Retivue,0.7931,0.5734,0.6297,0.2941,0.4544,11889.0
202306,4001,5101,Retivue,0.7931,0.6264,0.0583,0.3658,0.4544,10096.0
202307,4001,5101,Retivue,0.7836,0.6028,0.4114,0.3677,0.4544,
202308,4001,5101,Retivue,0.7836,0.5695,0.5265,0.2637,0.4544,10366.0
202309,4001,5101,Retivue,0.7836,0.625,0.4739,0.2106,0.4544,12846.0
202310,4001,5101,Retivue,0.7999,0.6805,0.4013,0.4226,0.4544,9739.0
202311,4001,5101,Retivue,0.7999,0.5566,0.4529,0.4916,0.4544,7500.0
202312,4001,5101,Retivue,0.7999,0.7354,0.3647,0.2252,0.4544,15065.0
202401,4001,5101,Retivue,0.8185,0.6813,0.129,0.2926,0.4544,20799.0
202402,4001,5101,Retivue,0.8185,0.7532,0.7406,0.2516,0.4544,19703.0
202403,4001,5101,Retivue,0.8185,0.6762,0.3493,0.2967,0.4544,12622.0
202404,4001,5101,Retivue,0.7785,0.616,0.3061,0.5118,0.4544,18147.0
202405,4001,5101,Retivue,0.7785,0.7111,0.6194,0.271,0.4544,10377.0
202406,4001,5101,Retivue,0.7785,0.7263,0.3962,0.3547,0.4544,16173.0
202407,4001,5101,Retivue,0.8286,0.6906,0.3088,0.2329,0.4544,16861.0
202408,4001,5101,Retivue,0.8286,0.6377,0.4778,,0.4544,12600.0
202409,4001,5101,Retivue,0.8286,0.7506,,0.2205,0.4544,12540.0
202410,4001,5101,Retivue,0.8538,0.613,0.645,0.3672,0.4544,20376.0
202411,4001,5101,Retivue,0.8538,0.6186,0.2689,0.1614,0.4544,17186.0
202412,4001,5101,Retivue,0.8538,0.6938,0.8463,0.2359,0.4544,20282.0
202501,4001,5101,Retivue,0.8372,0.7164,0.5797,,0.4544,11570.0
202502,4001,5101,Retivue,0.8372,0.608,0.4284,0.2597,0.4544,13292.0
202503,4001,5101,Retivue,0.8372,0.7779,0.3952,0.1374,0.4544,14251.0
202504,4001,5101,Retivue,0.8503,0.7534,0.4351,0.3454,0.4544,16752.0
202505,4001,5101,Retivue,0.8503,0.6046,,0.2611,0.4544,8562.0
202506,4001,5101,Retivue,0.8503,0.7904,0.2824,,0.4544,21990.0
