date_year_month,product_brand_id,product_brand_name,list_wac_per_unit,gross_to_net_ratio,effective_net_price_per_unit
202101,5101,Retivue,1950.0,0.7091,1382.67
202102,5101,Retivue,1953.22,0.7297,1425.29
202103,5101,Retivue,1956.45,0.7182,1405.21
202104,5101,Retivue,1959.68,0.724,1418.86
202105,5101,Retivue,1962.91,0.7164,1406.27
202106,5101,Retivue,1966.16,0.722,1419.52
202107,5101,Retivue,1969.4,0.7095,1397.28
202108,5101,Retivue,1972.66,0.7155,1411.38
202109,5101,Retivue,1975.91,0.7284,1439.16
202110,5101,Retivue,1979.18,0.7208,1426.65
202111,5101,Retivue,1982.45,0.7244,1436.09
202112,5101,Retivue,1985.72,0.7208,1431.35
202201,5101,Retivue,1989.0,0.7296,1451.1
202202,5101,Retivue,1992.28,0.7115,1417.45
202203,5101,Retivue,1995.58,0.7242,1445.24
202204,5101,Retivue,1998.87,0.7219,1442.95
202205,5101,Retivue,2002.17,0.7143,1430.11
202206,5101,Retivue,2005.48,0.7214,1446.69
202207,5101,Retivue,2008.79,0.7285,1463.32
202208,5101,Retivue,2012.11,0.7233,1455.4
202209,5101,Retivue,2015.43,0.7286,1468.52
202210,5101,Retivue,2018.76,0.7178,1449.09
202211,5101,Retivue,2022.1,0.7177,1451.22
202212,5101,Retivue,2025.43,0.7234,1465.23
202301,5101,Retivue,2028.78,0.716,1452.63
202302,5101,Retivue,2032.13,0.7301,1483.59
202303,5101,Retivue,2035.49,0.7212,1467.92
202304,5101,Retivue,2038.85,0.71,1447.66
202305,5101,Retivue,2042.22,0.7206,1471.69
202306,5101,Retivue,2045.59,0.7082,1448.66
202307,5101,Retivue,2048.97,0.7118,1458.5
202308,5101,Retivue,2052.35,0.7247,1487.26
202309,5101,Retivue,2055.74,0.7034,1446.01
202310,5101,Retivue,2059.14,0.7191,1480.81
202311,5101,Retivue,2062.54,0.7348,1515.54
202312,5101,Retivue,2065.94,0.7189,1485.12
202401,5101,Retivue,2069.36,0.7108,1470.94
202402,5101,Retivue,2072.77,0.7199,1492.28
202403,5101,Retivue,2076.2,0.7079,1469.65
202404,5101,Retivue,2079.63,0.7197,1496.77
202405,5101,Retivue,2083.06,0.7262,1512.74
202406,5101,Retivue,2086.5,0.7208,1503.96
202407,5101,Retivue,2089.95,0.7099,1483.65
202408,5101,Retivue,2093.4,0.7169,1500.8
202409,5101,Retivue,2096.86,0.7218,1513.53
202410,5101,Retivue,2100.32,0.7172,1506.27
202411,5101,Retivue,2103.79,0.7163,1506.94
202412,5101,Retivue,2107.26,0.7139,1504.41
202501,5101,Retivue,2110.74,0.7164,1512.23
202502,5101,Retivue,2114.23,0.7159,1513.64
202503,5101,Retivue,2117.72,0.7247,1534.68
202504,5101,Retivue,2121.22,0.7238,1535.29
202505,5101,Retivue,2124.72,0.7127,1514.33
202506,5101,Retivue,2128.23,0.7242,1541.23
202101,5102,Vabyseal,2190.0,0.6951,1522.2
202102,5102,Vabyseal,2193.62,0.694,1522.31
202103,5102,Vabyseal,2197.24,0.7161,1573.38
202104,5102,Vabyseal,2200.87,0.7119,1566.78
202105,5102,Vabyseal,2204.5,0.7111,1567.52
202106,5102,Vabyseal,2208.14,0.6893,1522.14
202107,5102,Vabyseal,2211.79,0.7099,1570.12
202108,5102,Vabyseal,2215.44,0.7058,1563.63
202109,5102,Vabyseal,2219.1,0.7086,1572.46
202110,5102,Vabyseal,2222.77,0.6979,1551.24
202111,5102,Vabyseal,2226.44,0.6958,1549.1
202112,5102,Vabyseal,2230.12,0.7034,1568.69
202201,5102,Vabyseal,2233.8,0.7136,1594.11
202202,5102,Vabyseal,2237.49,0.6952,1555.61
202203,5102,Vabyseal,2241.18,0.6945,1556.44
202204,5102,Vabyseal,2244.89,0.6945,1559.03
202205,5102,Vabyseal,2248.59,0.6962,1565.41
202206,5102,Vabyseal,2252.31,0.6974,1570.7
202207,5102,Vabyseal,2256.03,0.694,1565.67
202208,5102,Vabyseal,2259.75,0.6991,1579.81
202209,5102,Vabyseal,2263.49,0.7081,1602.69
