date_year_month,ecosystem_id,product_brand_id,product_brand_name,rep_calls,samples_delivered,digital_impressions,speaker_programs,copay_redemptions,nba_suggestions,marketing_spend_usd
202101,4000,5101,Retivue,7,0,818.0,0,69,19,3186.2
202102,4000,5101,Retivue,0,0,49.0,0,0,0,44.1
202103,4000,5101,Retivue,5,0,642.0,0,16,7,2327.8
202104,4000,5101,Retivue,3,0,105.0,0,19,10,1144.5
202105,4000,5101,Retivue,5,0,499.0,0,90,4,2199.1
202106,4000,5101,Retivue,3,0,112.0,1,58,4,5350.8
202107,4000,5101,Retivue,6,0,1078.0,0,27,11,3070.2
202108,4000,5101,Retivue,2,0,274.0,0,22,4,946.6
202109,4000,5101,Retivue,5,0,609.0,0,54,11,2298.1
202110,4000,5101,Retivue,5,0,536.0,0,41,8,2232.4
202111,4000,5101,Retivue,4,0,349.0,0,39,5,1714.1
202112,4000,5101,Retivue,5,0,470.0,0,42,13,2173.0
202201,4000,5101,Retivue,4,0,451.0,0,11,5,1805.9
202202,4000,5101,Retivue,2,0,231.0,0,0,2,907.9
202203,4000,5101,Retivue,4,0,553.0,0,12,9,1897.7
202204,4000,5101,Retivue,6,0,701.0,0,39,14,2730.9
202205,4000,5101,Retivue,8,0,844.0,0,37,14,3559.6
202206,4000,5101,Retivue,3,0,5.0,1,0,4,5254.5
202207,4000,5101,Retivue,1,0,73.0,0,14,1,415.7
202208,4000,5101,Retivue,3,0,456.0,0,0,9,1460.4
202209,4000,5101,Retivue,4,0,236.0,0,35,6,1612.4
202210,4000,5101,Retivue,2,0,153.0,0,43,4,837.7
202211,4000,5101,Retivue,3,0,405.0,0,0,11,1414.5
202212,4000,5101,Retivue,2,0,43.0,0,0,3,738.7
202301,4000,5101,Retivue,4,0,556.0,0,20,7,1900.4
202302,4000,5101,Retivue,6,0,994.0,0,37,6,2994.6
202303,4000,5101,Retivue,3,0,,0,36,12,1298.4
202304,4000,5101,Retivue,6,0,303.0,0,13,7,2372.7
202305,4000,5101,Retivue,6,0,605.0,0,31,12,2644.5
202306,4000,5101,Retivue,3,0,131.0,0,16,6,1167.9
202307,4000,5101,Retivue,1,0,100.0,1,0,2,4640.0
202308,4000,5101,Retivue,3,0,,0,49,2,1393.8
202309,4000,5101,Retivue,3,0,350.0,0,37,2,1365.0
202310,4000,5101,Retivue,3,0,404.0,0,7,5,1413.6
202311,4000,5101,Retivue,1,0,207.0,0,0,0,536.3
202312,4000,5101,Retivue,8,0,1310.0,0,63,16,3979.0
202401,4000,5101,Retivue,4,0,438.0,2,80,3,10194.2
202402,4000,5101,Retivue,4,0,333.0,0,27,7,1699.7
202403,4000,5101,Retivue,4,0,457.0,0,24,5,1811.3
202404,4000,5101,Retivue,3,0,465.0,0,3,7,1468.5
202405,4000,5101,Retivue,7,0,626.0,1,79,21,7213.4
202406,4000,5101,Retivue,1,0,139.0,0,11,1,475.1
202407,4000,5101,Retivue,7,0,875.0,0,18,12,3237.5
202408,4000,5101,Retivue,3,0,268.0,0,10,11,1291.2
202409,4000,5101,Retivue,3,0,165.0,0,16,7,1198.5
202410,4000,5101,Retivue,6,0,785.0,0,27,17,2806.5
202411,4000,5101,Retivue,5,0,595.0,1,38,9,6485.5
202412,4000,5101,Retivue,1,0,22.0,0,20,1,369.8
202501,4000,5101,Retivue,5,0,418.0,0,36,4,2126.2
202502,4000,5101,Retivue,4,0,698.0,0,24,5,2028.2
202503,4000,5101,Retivue,1,0,31.0,1,0,1,4577.9
202504,4000,5101,Retivue,4,0,0.0,0,45,5,1400.0
202505,4000,5101,Retivue,4,0,726.0,0,35,6,2053.4
202506,4000,5101,Retivue,3,0,348.0,0,35,7,1363.2
202101,4001,5101,Retivue,2,0,180.0,0,67,1,862.0
202102,4001,5101,Retivue,5,0,456.0,0,10,14,2160.4
202103,4001,5101,Retivue,3,0,291.0,0,52,6,1311.9
202104,4001,5101,Retivue,5,0,592.0,0,60,10,2282.8
202105,4001,5101,Retivue,5,0,1086.0,0,68,17,2727.4
202106,4001,5101,Retivue,2,0,410.0,0,0,7,1069.0
202107,4001,5101,Retivue,2,0,226.0,0,39,4,903.4
202108,4001,5101,Retivue,3,0,403.0,0,28,7,1412.7
202109,4001,5101,Retivue,2,0,134.0,0,4,5,820.6
202110,4001,5101,Retivue,4,0,220.0,1,27,6,5798.0
202111,4001,5101,Retivue,6,0,843.0,0,30,9,2858.7
202112,4001,5101,Retivue,6,0,1228.0,0,24,17,3205.2
202201,4001,5101,Retivue,2,0,194.0,0,5,3,874.6
202202,4001,5101,Retivue,2,0,265.0,0,0,2,938.5
202203,4001,5101,Retivue,4,0,494.0,0,67,8,1844.6
202204,4001,5101,Retivue,2,0,429.0,0,18,6,1086.1
202205,4001,5101,Retivue,1,0,198.0,0,6,2,528.2
