date_year_month,date_year_quarter,date_year,ecosystem_id,ecosystem_name,product_brand_id,product_brand_name,market_code,flag_competitor,data_provider_name,sale_channel_type,iqvia_sales_qty_eqv,iqvia_sales_tot_rx_count,iqvia_sales_new_rx_count,iqvia_sales_dollars
202101,2021Q1,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,135.111,135.111,22.38,263466.34
202102,2021Q1,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,117.951,117.951,29.227,230384.7
202103,2021Q1,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,103.571,103.571,28.986,202630.98
202104,2021Q2,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,104.431,104.431,22.359,204650.25
202105,2021Q2,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,117.904,117.904,25.733,231435.2
202106,2021Q2,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,109.482,109.482,19.478,215259.61
202107,2021Q3,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,101.813,101.813,18.519,200510.41
202108,2021Q3,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,97.038,97.038,24.887,191423.12
202109,2021Q3,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,103.435,103.435,23.282,204378.05
202110,2021Q4,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,98.768,98.768,20.667,195478.5
202111,2021Q4,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,108.591,108.591,23.467,215276.27
202112,2021Q4,2021,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,106.916,106.916,27.823,212305.07
202201,2022Q1,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,123.524,123.524,19.393,245689.91
202202,2022Q1,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,120.543,120.543,19.176,240156.39
202203,2022Q1,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,124.841,124.841,24.439,249128.84
202204,2022Q2,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,118.04,118.04,25.421,235946.32
202205,2022Q2,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,130.153,130.153,38.308,260589.44
202206,2022Q2,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,126.418,126.418,32.767,253529.63
202207,2022Q3,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,102.399,102.399,22.625,205697.53
202208,2022Q3,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,107.509,107.509,17.353,216319.86
202209,2022Q3,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,109.784,109.784,25.175,221262.88
202210,2022Q4,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,117.375,117.375,28.641,236952.19
202211,2022Q4,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,114.659,114.659,26.653,231852.24
202212,2022Q4,2022,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,130.501,130.501,24.661,264321.01
202301,2023Q1,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,124.62,124.62,21.769,252827.3
202302,2023Q1,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,123.045,123.045,30.147,250042.52
202303,2023Q1,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,118.233,118.233,27.173,240661.98
202304,2023Q2,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,109.114,109.114,26.22,222467.06
202305,2023Q2,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,104.556,104.556,21.979,213525.49
